template,primaryClassificationTag,themeTag,subThemeTags,relatedContents,title,isOfRegionalInterestOnly,signatures,customTags,referredContent,id,contentType,sector,summary,contentTypeClassificationTag,canonicalWebLink,outOfContextTitle,futurePublishedLastTimeAt,subSector,broadcastableItem,subjectTags,$type,selfLink,publishedLastTimeAt,summaryMultimediaItem,regionTags,kicker
null,"{name:Nouvelles,codeName:nouvelle,id:12}","{name:Société,id:17}","[{name:Francophonie,id:51}]",[],Marc-Yvain Giroux quitte la Maison de la culture francophone du Niagara,false,[],[],null,1091226,"{name:Nouvelle,id:11}","{name:Info,id:1}","<p>À 86 ans, le pionnier Franco-Ontarien et président du conseil d'administration de la Maison de la culture francophone du Niagara tire sa révérence.</p>","{name:Nouvelles,id:12}",{"href":"http://ici.radio-canada.ca/nouvelle/1091226/francophonie-marc-yvain-giroux-radio-cjbc"},Marc-Yvain Giroux quitte la Maison de la culture francophone du Niagara,2018-03-23T23:50:45.000Z,"{name:Toronto,id:24}",null,[],"RC.Neuro.Dtos.v1.FutureContentItemSummary, RC.Neuro.Dtos",{"href":"https://services.radio-canada.ca/hackathon/neuro/v1/news-stories/1091226"},2018-03-23T23:50:45.000Z,"{concreteImages:[{dimensionRatio:1:1,width:2447,mediaLink:{href:https://images.radio-canada.ca/v1/ici-premiere/1x1/marc-yvain-giroux-glc-welland.JPG},height:2447},{dimensionRatio:16:9,width:2697,mediaLink:{href:https://images.radio-canada.ca/v1/ici-premiere/16x9/marc-yvain-giroux-glc-welland.JPG},height:1517},{dimensionRatio:17:6,width:3263,mediaLink:{href:https://images.radio-canada.ca/v1/ici-premiere/17x6/marc-yvain-giroux-glc-welland.JPG},height:1152},{dimensionRatio:2:3,width:1631,mediaLink:{href:https://images.radio-canada.ca/v1/ici-premiere/2x3/marc-yvain-giroux-glc-welland.JPG},height:2447},{dimensionRatio:4:3,width:3263,mediaLink:{href:https://images.radio-canada.ca/v1/ici-premiere/4x3/marc-yvain-giroux-glc-welland.JPG},height:2447},{dimensionRatio:perso,width:3263,mediaLink:{href:https://images.radio-canada.ca/v1/ici-premiere/perso/marc-yvain-giroux-glc-welland.JPG},height:2448}],legend:Le directeur de la Maison de la culture de Welland, Marc-Yvain Giroux.,imageCredits:Michel Laforge,imageCollection:,alt:Marc-Yvain Giroux assis à son micro pendant une entrevue radiophonique.,contentType:{name:Image (Picto),id:19},$type:RC.Neuro.Dtos.v1.ConceptualImage, RC.Neuro.Dtos,pressAgencies:[{name:Radio-Canada,codeName:Radio-Canada,id:null}]}","[{name:Toronto,id:27},{name:Windsor,id:28}]",
null,"{name:Nouvelles,codeName:nouvelle,id:12}","{name:Justice et faits divers,id:18}","[{name:Forces policières,id:178}]",[],Le policier qui roulait à 178 km/h dans une zone de 50 débouté en appel,false,[],[],null,1091216,"{name:Nouvelle,id:11}","{name:Info,id:1}",<p>Un policier qui avait causé un accident en répondant à un appel d'urgence parce qu'il filait à 178 km/h dans une zone de 50 a été débouté en Cour d'appel de l'Ontario.</p>,"{name:Nouvelles,id:12}",{"href":"http://ici.radio-canada.ca/nouvelle/1091216/le-policier-qui-roulait-a-178-km-h-dans-une-zone-de-50-deboute-en-appel"},Le policier qui roulait à 178 km/h dans une zone de 50 débouté en appel,2018-03-23T22:53:42.000Z,"{name:Toronto,id:24}",null,[],"RC.Neuro.Dtos.v1.FutureContentItemSummary, RC.Neuro.Dtos",{"href":"https://services.radio-canada.ca/hackathon/neuro/v1/news-stories/1091216"},2018-03-23T22:53:42.000Z,"{concreteImages:[{dimensionRatio:1:1,width:460,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/1x1/justice-jure-jury-tribunal-justice-generique.jpg},height:461},{dimensionRatio:16:9,width:757,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/16x9/justice-jure-jury-tribunal-justice-generique.jpg},height:426},{dimensionRatio:17:6,width:757,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/17x6/justice-jure-jury-tribunal-justice-generique.jpg},height:268},{dimensionRatio:2:3,width:306,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/2x3/justice-jure-jury-tribunal-justice-generique.jpg},height:461},{dimensionRatio:4:3,width:614,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/4x3/justice-jure-jury-tribunal-justice-generique.jpg},height:461},{dimensionRatio:perso,width:757,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/perso/justice-jure-jury-tribunal-justice-generique.jpg},height:461}],legend:La justice. ,imageCredits:,imageCollection:,alt:La statue représentant la justice.,contentType:{name:Image (Picto),id:19},$type:RC.Neuro.Dtos.v1.ConceptualImage, RC.Neuro.Dtos,pressAgencies:[{name:iStock,codeName:iStock,id:null}]}","[{name:Toronto,id:27},{name:Windsor,id:28}]",
null,"{name:Nouvelles,codeName:nouvelle,id:12}","{name:Politique,id:13}","[{name:Politique provinciale,id:102}]",[],La Sunshine List continue de croître en Ontario,true,[],"[{name:Tout l'Ontario,id:89ac6c3e-fd4d-42ab-b7a3-fb97fbf5c341,category:{name:Régions,id:f0a27ed8-5260-41dd-81b8-97365f8624ea}}]",null,1091087,"{name:Nouvelle,id:11}","{name:Info,id:1}",<p>Plus de 131 000 noms figurent cette année sur la liste de Divulgation des salaires des employés des secteurs public et parapublic de l'Ontario qui touchent une rémunération de 100&nbsp;000&nbsp;$ et plus.</p>,"{name:Nouvelles,id:12}",{"href":"http://ici.radio-canada.ca/nouvelle/1091087/sunshine-list-fonctionnaires-100000-dollars-ontario"},La Sunshine List des employés provinciaux gagnant 100 000 $ et plus continue de croître en Ontario,2018-03-23T17:30:05.000Z,"{name:Toronto,id:24}",null,[],"RC.Neuro.Dtos.v1.FutureContentItemSummary, RC.Neuro.Dtos",{"href":"https://services.radio-canada.ca/hackathon/neuro/v1/news-stories/1091087"},2018-03-23T17:30:05.000Z,"{concreteImages:[{dimensionRatio:1:1,width:3023,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/1x1/sunshine-list-2017.JPG},height:3023},{dimensionRatio:16:9,width:4031,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/16x9/sunshine-list-2017.JPG},height:2267},{dimensionRatio:17:6,width:4031,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/17x6/sunshine-list-2017.JPG},height:1423},{dimensionRatio:2:3,width:2015,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/2x3/sunshine-list-2017.JPG},height:3023},{dimensionRatio:4:3,width:4031,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/4x3/sunshine-list-2017.JPG},height:3023},{dimensionRatio:perso,width:4031,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/perso/sunshine-list-2017.JPG},height:3024}],legend:La Sunshine List de cette année compte sept volumes.,imageCredits:Julie-Anne Lamoureux,imageCollection:,alt:7 volumes tenus par des mains.,contentType:{name:Image (Picto),id:19},$type:RC.Neuro.Dtos.v1.ConceptualImage, RC.Neuro.Dtos,pressAgencies:[{name:Radio-Canada,codeName:Radio-Canada,id:null}]}","[{name:Nord de l'Ontario,id:26},{name:Toronto,id:27},{name:Windsor,id:28}]",
null,"{name:Nouvelles,codeName:nouvelle,id:12}","{name:Justice et faits divers,id:18}",[],[],Fusillade à Windsor&nbsp;:&nbsp;les policiers ont tiré plusieurs coups de feu sur un homme,true,[],[],null,1091085,"{name:Nouvelle,id:11}","{name:Info,id:1}","<p>Deux&nbsp;policiers ont vidé leurs chargeurs et atteint plusieurs fois un homme lorsqu'ils sont intervenus au centre-ville de Windsor mercredi, indiquent les premiers éléments de l'enquête de l'Unité des enquêtes spéciales.</p>","{name:Nouvelles,id:12}",{"href":"http://ici.radio-canada.ca/nouvelle/1091085/fusillade-a-windsor-les-policiers-ont-tire-plusieurs-coups-de-feu-sur-un-homme"},Fusillade à Windsor : les policiers ont tiré plusieurs coups de feu sur un homme,2018-03-23T16:09:40.000Z,"{name:Windsor,id:25}",null,[],"RC.Neuro.Dtos.v1.FutureContentItemSummary, RC.Neuro.Dtos",{"href":"https://services.radio-canada.ca/hackathon/neuro/v1/news-stories/1091085"},2018-03-23T16:09:40.000Z,"{concreteImages:[{dimensionRatio:1:1,width:2559,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/1x1/police-windsor-fusillade.jpg},height:2560},{dimensionRatio:16:9,width:3839,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/16x9/police-windsor-fusillade.jpg},height:2160},{dimensionRatio:17:6,width:3839,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/17x6/police-windsor-fusillade.jpg},height:1355},{dimensionRatio:2:3,width:1706,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/2x3/police-windsor-fusillade.jpg},height:2560},{dimensionRatio:4:3,width:3412,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/4x3/police-windsor-fusillade.jpg},height:2560},{dimensionRatio:perso,width:3839,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/perso/police-windsor-fusillade.jpg},height:2560}],legend:L'Unité des enquêtes spéciales sur les lieux de la fusillade à Windsor mercredi matin. ,imageCredits:Dan Taekema/CBC News,imageCollection:,alt:Quatre hommes en uniformes de policie observent dans un périmètre de sécurité. ,contentType:{name:Image (Picto),id:19},$type:RC.Neuro.Dtos.v1.ConceptualImage, RC.Neuro.Dtos,pressAgencies:[{name:Radio-Canada,codeName:Radio-Canada,id:null}]}","[{name:Windsor,id:28}]",
null,"{name:Nouvelles,codeName:nouvelle,id:12}","{name:Société,id:17}","[{name:Éducation,id:27},{name:Francophonie,id:51}]",[],Crise de l’immersion : une bonne affaire pour les conseils scolaires francophones?,true,[],"[{name:Tout l'Ontario,id:89ac6c3e-fd4d-42ab-b7a3-fb97fbf5c341,category:{name:Régions,id:f0a27ed8-5260-41dd-81b8-97365f8624ea}}]",null,1090109,"{name:Nouvelle,id:11}","{name:Info,id:1}","<p>La fermeture de plusieurs programmes d'immersion française pourrait se traduire par une hausse du nombre d'élèves dans les écoles francophones de l'Ontario, un phénomène qui pourrait ne pas être aussi positif qu'il en a l'air.</p>","{name:Nouvelles,id:12}",{"href":"http://ici.radio-canada.ca/nouvelle/1090109/crise-immersion-conseils-scolaires-francophones"},Crise de l’immersion : une bonne affaire pour les conseils scolaires francophones?,2018-03-23T09:33:51.000Z,"{name:Windsor,id:25}",null,[],"RC.Neuro.Dtos.v1.FutureContentItemSummary, RC.Neuro.Dtos",{"href":"https://services.radio-canada.ca/hackathon/neuro/v1/news-stories/1090109"},2018-03-23T09:33:51.000Z,"{concreteImages:[{dimensionRatio:1:1,width:702,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/1x1/pdj-eleves-ecole.jpg},height:703},{dimensionRatio:16:9,width:1249,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/16x9/pdj-eleves-ecole.jpg},height:703},{dimensionRatio:17:6,width:1249,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/17x6/pdj-eleves-ecole.jpg},height:441},{dimensionRatio:2:3,width:468,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/2x3/pdj-eleves-ecole.jpg},height:703},{dimensionRatio:4:3,width:936,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/4x3/pdj-eleves-ecole.jpg},height:703},{dimensionRatio:perso,width:1249,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/perso/pdj-eleves-ecole.jpg},height:703}],legend:La pénurie d'enseignants de langue française dans les programmes d'immersion pourrait se traduire par un surplus d'élèves dans les écoles francophones de l'Ontario.,imageCredits:Istock,imageCollection:,alt:Un garçon et une fille souriants écrivent à l'école,contentType:{name:Image (Picto),id:19},$type:RC.Neuro.Dtos.v1.ConceptualImage, RC.Neuro.Dtos,pressAgencies:[]}","[{name:Nord de l'Ontario,id:26},{name:Toronto,id:27},{name:Windsor,id:28}]",
null,"{name:Nouvelles,codeName:nouvelle,id:12}","{name:Politique,id:13}","[{name:Politique municipale,id:203}]",[],"À&nbsp;l'ombre du mur de l'hôtel de ville de Sarnia, des tensions persistent",true,[],"[{name:Tout l'Ontario,id:89ac6c3e-fd4d-42ab-b7a3-fb97fbf5c341,category:{name:Régions,id:f0a27ed8-5260-41dd-81b8-97365f8624ea}}]",null,1090839,"{name:Nouvelle,id:11}","{name:Info,id:1}","<p>Plus d'un an après que plusieurs rapports aient souligné les comportements de harcèlement et d'intimidation du maire de Sarnia, Mike Bradley, les relations entre les conseillers municipaux sont toujours difficiles, et ce, malgré les sanctions imposées au maire.</p>","{name:Nouvelles,id:12}",{"href":"http://ici.radio-canada.ca/nouvelle/1090839/hotel-ville-sarnia-climat-harcelement-maire"},Climat politique toujours tendu à l'hôtel de ville de Sarnia,2018-03-23T16:16:52.000Z,"{name:Windsor,id:25}",null,[],"RC.Neuro.Dtos.v1.FutureContentItemSummary, RC.Neuro.Dtos",{"href":"https://services.radio-canada.ca/hackathon/neuro/v1/news-stories/1090839"},2018-03-23T16:16:52.000Z,"{concreteImages:[{dimensionRatio:1:1,width:3079,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/1x1/hotel-de-ville-sarnia.JPG},height:3080},{dimensionRatio:16:9,width:5471,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/16x9/hotel-de-ville-sarnia.JPG},height:3078},{dimensionRatio:17:6,width:5471,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/17x6/hotel-de-ville-sarnia.JPG},height:1931},{dimensionRatio:2:3,width:2052,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/2x3/hotel-de-ville-sarnia.JPG},height:3080},{dimensionRatio:4:3,width:4106,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/4x3/hotel-de-ville-sarnia.JPG},height:3080},{dimensionRatio:perso,width:5471,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/perso/hotel-de-ville-sarnia.JPG},height:3080}],legend:L'hôtel de ville de Sarnia. ,imageCredits:Colin Côté-Paulette,imageCollection:,alt:Grand bâtiment avec beaucoup de fenêtres. On peut voir les armoiries de la ville près de l'entrée. ,contentType:{name:Image (Picto),id:19},$type:RC.Neuro.Dtos.v1.ConceptualImage, RC.Neuro.Dtos,pressAgencies:[{name:Radio-Canada,codeName:Radio-Canada,id:null}]}","[{name:Nord de l'Ontario,id:26},{name:Toronto,id:27},{name:Windsor,id:28}]",
null,"{name:Nouvelles,codeName:nouvelle,id:12}","{name:Société,id:17}","[{name:Éducation,id:27}]",[],L'École des arts créatifs de l'Université de Windsor officiellement ouverte,true,[],[],null,1091042,"{name:Nouvelle,id:11}","{name:Info,id:1}","<p>La nouvelle école des arts créatifs de l'Université de Windsor a été inaugurée jeudi. La cérémonie d'ouverture du projet de 60&nbsp;M$ s'est déroulée devant les hautes instances de l'université, les élus locaux et d'anciens soldats.</p>","{name:Nouvelles,id:12}",{"href":"http://ici.radio-canada.ca/nouvelle/1091042/lecole-des-arts-creatifs-de-luniversite-de-windsor-officiellement-ouverte"},L'École des arts créatifs de l'Université de Windsor officiellement ouverte,2018-03-23T16:03:16.000Z,"{name:Windsor,id:25}",null,[],"RC.Neuro.Dtos.v1.FutureContentItemSummary, RC.Neuro.Dtos",{"href":"https://services.radio-canada.ca/hackathon/neuro/v1/news-stories/1091042"},2018-03-23T16:03:16.000Z,"{concreteImages:[{dimensionRatio:1:1,width:3023,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/1x1/universite-windsor-pavillon-arts.jpg},height:3024},{dimensionRatio:16:9,width:4031,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/16x9/universite-windsor-pavillon-arts.jpg},height:2268},{dimensionRatio:17:6,width:4031,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/17x6/universite-windsor-pavillon-arts.jpg},height:1423},{dimensionRatio:2:3,width:2015,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/2x3/universite-windsor-pavillon-arts.jpg},height:3024},{dimensionRatio:4:3,width:4031,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/4x3/universite-windsor-pavillon-arts.jpg},height:3024},{dimensionRatio:perso,width:4031,mediaLink:{href:https://images.radio-canada.ca/v1/ici-info/perso/universite-windsor-pavillon-arts.jpg},height:3024}],legend:La nouvelle école des arts créatifs de l'Université de Windsor a officiellement déménagé dans l'ancien manège militaire situé sur la rue University. ,imageCredits:Jason Viau/CBC News,imageCollection:,alt:Vue en contre plongée du vieux bâtiment en briques. On voit bien la pancarte avec l'inscription University of Windsor. ,contentType:{name:Image (Picto),id:19},$type:RC.Neuro.Dtos.v1.ConceptualImage, RC.Neuro.Dtos,pressAgencies:[{name:Radio-Canada,codeName:Radio-Canada,id:null}]}","[{name:Windsor,id:28}]",
null,"{name:Nouvelles,codeName:nouvelle,id:12}","{name:Politique,id:13}","[{name:Politique fédérale,id:101}]",[],Jagmeet Singh dans la tourmente : qu'en pense la communauté sikhe?
